ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
NTGA,medium_airport,Anaa Airport,10,OC,PF,PF-U-A,Anaa,NTGA,AAA,,"-17.3526, -145.509995"
YARY,small_airport,Arrabury Airport,334,OC,AU,AU-QLD,Tanbar,YARY,AAB,,"-26.69639, 141.048718"
HEAR,medium_airport,El Arish International Airport,118,AS,EG,EG-SIN,El Arish,HEAR,AAC,,"31.078565, 33.836791"
AAD,small_airport,Adado Airport,1001,AF,SO,SO-GA,Adado,,AAD,,"6.095802, 46.6375"
DABB,medium_airport,Annaba Rabah Bitat Airport,16,AF,DZ,DZ-23,Annaba,DABB,AAE,,"36.826781, 7.81334"
KAAF,small_airport,Apalachicola Regional Airport,20,NA,US,US-FL,Apalachicola,KAAF,AAF,AAF,"29.72750092, -85.02749634"
SSYA,small_airport,Avelino Vieira Airport,2641,SA,BR,BR-PR,Arapoti,,AAG,PR0020,"-24.103901, -49.789101"
EDKA,small_airport,Aachen-Merzbrück Airport,623,EU,DE,DE-NW,Aachen,EDKA,AAH,,"50.823055, 6.186389"
SWRA,small_airport,Arraias Airport,1923,SA,BR,BR-TO,Arraias,,AAI,,"-13.025154, -46.884107"
SR-AAJ,small_airport,Cayana Airstrip,360,SA,SR,SR-SI,Awaradam,SMCA,AAJ,,"3.898681, -55.577907"
NGUK,small_airport,Aranuka Airport,6,OC,KI,KI-G,Buariki,NGUK,AAK,,"0.185278, 173.636993"
EKYT,medium_airport,Aalborg Airport,10,EU,DK,DK-81,Aalborg,EKYT,AAL,,"57.092759, 9.849243"
FAMD,medium_airport,Malamala Airport,1124,AF,ZA,ZA-NP,Malamala,FAMD,AAM,,"-24.818099975585938, 31.544599533081055"
OMAL,medium_airport,Al Ain International Airport,869,AS,AE,AE-AZ,Al Ain,OMAL,AAN,,"24.261699676513672, 55.60919952392578"
SVAN,medium_airport,Anaco Airport,721,SA,VE,VE-B,Anaco,SVAN,AAO,,"9.430225, -64.470726"
WALS,medium_airport,Aji Pangeran Tumenggung Pranoto International Airport,82,AS,ID,ID-KI,Samarinda,WALS,AAP,,"-0.374478, 117.250128"
URKA,medium_airport,Anapa Vityazevo Airport,174,EU,RU,RU-KDA,Krasnyi Kurgan,URKA,AAQ,,"45.002102, 37.347301"
EKAH,medium_airport,Aarhus Airport,82,EU,DK,DK-82,Aarhus,EKAH,AAR,,"56.303331, 10.618286"
ID-AAS,small_airport,Apalapsili Airport,3100,AS,ID,ID-PP,Apalapsili,,AAS,APA,"-3.882495, 139.310932"
CN-0113,medium_airport,Altay Xuedu Airport,2460,AS,CN,CN-65,Altay,ZWAT,AAT,,"47.749886, 88.085808"
NSAU,small_airport,Asau Airport,,OC,WS,WS-VS,Asau,NSAU,AAU,,"-13.505132, -172.627888"
RPMA,medium_airport,Allah Valley Airport,659,AS,PH,PH-SCO,Surallah,RPMA,AAV,,"6.367903, 124.752431"
SBAX,small_airport,Romeu Zema Airport,3276,SA,BR,BR-MG,Araxá,SBAX,AAX,MG0008,"-19.5632, -46.9604"
OYGD,medium_airport,Al Ghaydah International Airport,134,AS,YE,YE-MR,Al Ghaydah,OYGD,AAY,,"16.193341, 52.174186"
MGQZ,small_airport,Quezaltenango Airport,7779,NA,GT,GT-QZ,Quezaltenango,MGQZ,AAZ,,"14.8656, -91.501999"
UNAA,medium_airport,Abakan International Airport,831,EU,RU,RU-KK,Abakan,UNAA,ABA,,"53.740002, 91.385002"
DNAS,medium_airport,Asaba International Airport,305,AF,NG,NG-DE,Asaba,DNAS,ABB,,"6.204167, 6.665278"
LEAB,medium_airport,Albacete Airport / Los Llanos Air Base,2302,EU,ES,ES-CM,Albacete,LEAB,ABC,,"38.948502, -1.86352"
